20110810-164430	15525	951137	8473193	3223198	5249995	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164434	15525	951137	8473194	3223198	5249996	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164437	15525	951137	8473194	3223198	5249996	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164441	15525	951137	8473194	3223198	5249996	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164444	15525	951137	8473194	3223198	5249996	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63954	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164448	15525	951137	8473194	3223198	5249996	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63954	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164452	15525	951137	8473194	3223198	5249996	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164455	15525	951137	8473194	3223198	5249996	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164459	15525	951137	8473194	3223198	5249996	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9573	0	0	NORM	N_D	0	0
20110810-164503	15525	951137	8473194	3223198	5249996	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63954	0	9573	9637	0	0	NORM	N_D	0	0
20110810-164506	15525	951137	8473194	3223198	5249996	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164510	15525	951137	8473194	3223198	5249996	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164514	15525	951137	8473194	3223198	5249996	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9573	0	0	NORM	N_D	0	0
20110810-164517	15525	951137	8473194	3223198	5249996	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9573	9637	0	0	NORM	N_D	0	0
20110810-164521	15525	951137	8473194	3223198	5249996	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164524	15525	951137	8473194	3223198	5249996	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63954	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164528	15525	951137	8473194	3223198	5249996	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9573	0	0	NORM	N_D	0	0
20110810-164532	15525	951137	8473194	3223198	5249996	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164535	15525	951137	8473195	3223198	5249997	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9573	9637	0	0	NORM	N_D	0	0
20110810-164539	15525	951137	8473195	3223198	5249997	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63954	0	9573	9637	0	0	NORM	N_D	0	0
20110810-164543	15525	951137	8473195	3223198	5249997	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63954	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164546	15525	951137	8473195	3223198	5249997	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63954	0	9637	9573	0	0	NORM	N_D	0	0
20110810-164550	15525	951137	8473195	3223198	5249997	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9573	0	0	NORM	N_D	0	0
20110810-164554	15525	951137	8473195	3223198	5249997	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9573	9573	0	0	NORM	N_D	0	0
20110810-164557	15525	951137	8473195	3223198	5249997	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9573	9637	0	0	NORM	N_D	0	0
20110810-164601	15525	951137	8473195	3223198	5249997	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9573	0	0	NORM	N_D	0	0
20110810-164604	15525	951137	8473195	3223198	5249997	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63954	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164608	15525	951137	8473195	3223198	5249997	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63954	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164612	15525	951137	8473195	3223198	5249997	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9573	9573	0	0	NORM	N_D	0	0
20110810-164615	15525	951137	8473195	3223198	5249997	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9573	9573	0	0	NORM	N_D	0	0
20110810-164619	15525	951137	8473195	3223198	5249997	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9573	9573	0	0	NORM	N_D	0	0
20110810-164623	15525	951137	8473195	3223198	5249997	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63954	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164626	15525	951137	8473195	3223198	5249997	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
